company,domain,vertical,match_method,matched_company_name,matched_company_domain,organization_id,funding_round_id,round_type,date,raised_usd,raised_fmt,post_money_valuation_usd,post_money_fmt,lead_investor,partners,investor_count
Woebot Health,woebothealth.com,Mental Health,domain,Woebot Health,woebothealth.com,99452188-0eee-40a8-be2a-0dfbc0ece5e2,1e5bc308-b8e0-9abe-dc20-a5dc6db6c459,Series Unknown,2022-03-15,9500000.0,$9.5M,,—,Leaps by Bayer,Juergen Eckhardt (Leaps by Bayer),1
Wysa,wysa.com,Mental Health,name_fallback,Wysa,wysa.io,4e918cbb-bffe-44ee-91d4-233dc9ec7239,4aede9a5-f0af-18e3-7ec4-a9f9242b9201,Series B,2022-07-14,20000000.0,$20.0M,,—,HealthQuad,Charles-Antoine Janssen (HealthQuad); Vidushi Kamani (Kae Capital); Srinivasan Nagarajan (British International Investment); Manish Singhal (Pi Ventures),6
Character.AI,character.ai,Companion,domain,Character.AI,character.ai,f3a873cc-1959-4219-9abd-59d0ee9d95a7,0abee686-5e84-5700-7e71-d476cad3fe4e,Series A,2023-03-23,150000000.0,$150.0M,1000000000.0,$1.00B,Andreessen Horowitz,Sarah Wang (Andreessen Horowitz),5
Replika,replika.com,Companion,domain,,,291d508c-042a-473e-877d-689339eebcd3,,—,—,,—,,—,—,—,
Ada,ada.cx,Customer Support,domain,Ada,ada.cx,cc320b03-1be9-41d9-bec4-985a44a422c3,04b4883a-1da5-5fac-f901-b7fec5de23b9,Series C,2021-05-07,130000000.0,$130.0M,1200000000.0,$1.20B,Spark Capital,Ben Fletcher (Accel); Yasmin Razavi (Spark Capital); Matt Turck (FirstMark); Cameron McLain (Giant Ventures),8
Intercom,intercom.com,Customer Support,domain,Intercom,intercom.com,447d797f-d6ba-4fc1-9c07-2b86c3fc3083,9caaccae-6876-022c-c5fc-8c4554904a51,Series D,2018-03-27,125000000.0,$125.0M,1300000000.0,$1.30B,Kleiner Perkins,Ethan Kurzweil (Bessemer Venture Partners); Abhishek Agrawal (Vulcan Capital); Mary Meeker (Kleiner Perkins),5
Inworld AI,inworld.ai,Gaming,domain,Inworld AI,inworld.ai,7d568b57-f703-47c2-a06f-be6c9b7e577a,a94cc5d3-63a5-b32c-474a-8b45441d3da5,Series A,2023-08-02,56000000.0,$56.0M,521000000.0,$521.0M,Lightspeed Venture Partners,Bejul Somaia (Lightspeed Venture Partners); Moritz Baier-Lentz (Lightspeed Venture Partners); Michael Stewart (M12 - Microsoft's Venture Fund); Eric Schmidt (First Spark Ventures),8
Replica Studios,replicastudios.com,Gaming,domain,Replica Studios,replicastudios.com,1a0e9814-323a-4314-90e1-2df4834d8455,2a2a84d9-df4e-700d-fdbd-bee22a54e6c3,Seed,2022-11-01,4200000.0,$4.2M,,—,—,—,
Khan Academy,khanacademy.org,Education,domain,Khan Academy,khanacademy.org,11186775-5e3f-482f-b5d8-b92744bc7407,20f9879a-427c-76a1-bd93-30d3133e8fd5,Series A,2022-01-01,10000.0,$10.0K,111000.0,$111.0K,—,—,
Duolingo,duolingo.com,Education,domain,Duolingo,duolingo.com,b956f991-1fc3-4ee0-bb75-62b920c980db,b919c4f5-6868-503c-f8c6-5050f9b466c0,Series H,2020-11-18,35000000.0,$35.0M,2400000000.0,$2.40B,General Atlantic; Durable Capital Partners,Henry Ellenbogen (Durable Capital Partners); Julio Novo (Durable Capital Partners); Tanzeen M. Syed (General Atlantic),3
Sourcegraph,sourcegraph.com,DevTools,domain,Sourcegraph,sourcegraph.com,583d7b4e-cb27-4260-b701-a96819b366b6,c5a57095-aead-bb37-375a-bbecc28fc3dc,Series D,2021-07-13,150000000.0,$150.0M,2625000000.0,$2.62B,Andreessen Horowitz,John Yetimoglu (Infinitum); Sarah Wang (Andreessen Horowitz),4
Anysphere,cursor.com,DevTools,domain,Cursor,cursor.com,3e6812ad-dc49-4fb5-bf38-f5f737bab5c1,53440276-e60b-86cf-3406-0ef50a7c53cf,Series D,2025-11-13,2300000000.0,$2.30B,29300000000.0,$29.30B,Coatue; Accel,—,7
Harvey,harvey.ai,LegalTech,domain,Harvey,harvey.ai,724af384-431a-4f8f-bf5b-81ee66b6169a,143ef1fb-638f-bdb8-649d-19f3f52f6a30,Series F,2025-10-30,160000000.0,$160.0M,8000000000.0,$8.00B,Andreessen Horowitz,Patrick Grady (Sequoia Capital); Ilya Fushman (Kleiner Perkins),7
Robin AI,robinai.com,LegalTech,domain,Robin AI,robinai.com,640cd5a1-0f36-4ef8-a81c-e49b9a89777e,b5fc4f56-c316-2690-d675-acdf475b609c,Series B,2024-11-12,25000000.0,$25.0M,,—,University of Cambridge,—,1
Eightfold AI,eightfold.ai,HRTech,domain,Eightfold,eightfold.ai,580ee5f4-d2c8-438f-a2a9-f2dd946c6527,d89d176a-9a59-9ba2-8fd4-b7274dfe6151,Series E,2021-06-10,220000000.0,$220.0M,2100000000.0,$2.10B,SoftBank Vision Fund,Peter Nieh (Lightspeed Venture Partners); Quentin Clark (General Catalyst); Deep Nishar (SoftBank Vision Fund),6
Paradox,paradox.ai,HRTech,domain,Paradox,paradox.ai,87eb24e3-2b86-40ca-b8ed-59e11c06e3bb,401fe563-b89d-aa21-b9b5-8d8ac6b65412,Series C,2021-12-27,200000000.0,$200.0M,1500000000.0,$1.50B,Stripes; Thoma Bravo; Sapphire Ventures,Mike Gregoire (Brighton Park Capital); Robert Sayle (Thoma Bravo); Mir Arif (Blue Cloud Ventures); Paul Melchiorre (Stripes),12
Gong,gong.io,SalesEnablement,domain,Gong,gong.io,19fc7abc-f940-4e69-a567-ad3bad4afb0b,a027b003-f8b8-16d4-42ec-39ec6a88b0bf,Series E,2021-06-03,250000000.0,$250.0M,7250000000.0,$7.25B,Franklin Templeton,Carl Eschenbach (Sequoia Capital); Alex Kayyal (Salesforce Ventures); Ryan Biggs (Franklin Templeton),7
Outreach,outreach.io,SalesEnablement,domain,Outreach,outreach.io,f00ccbee-0214-49ea-9963-a7245b1f86a3,1e0b4b73-1b26-5fa4-edac-0ca73e90809e,Series G,2021-06-02,200000000.0,$200.0M,4400000000.0,$4.40B,Steadfast Financial; Premji Invest; Steadfast Capital Management,Rajeev Batra (Mayfield Fund); Sandesh Patnam (Premji Invest); Michael Clarke (Sands Capital Ventures); Karan Mehandru (Steadfast Financial),12
Zip,ziphq.com,Procurement,domain,Zip,ziphq.com,f141c1b2-690a-4ca5-b08c-bc841f13792a,a8974b42-66da-01e1-96f6-47fb5a8e6f06,Series D,2024-10-21,190000000.0,$190.0M,2200000000.0,$2.20B,Bond,Jay Simons (Bond); Ali Rowghani (Y Combinator); Garry Tan (Y Combinator); Anna Khan (CRV),6
Globality,globality.com,Procurement,domain,Globality,globality.com,1aee8bb7-b99c-423b-997a-a31518266fc1,c70b1ee9-4cb8-3404-ff6f-955c809026e9,Series D,2019-01-22,100000000.0,$100.0M,900000000.0,$900.0M,SoftBank Vision Fund,—,1
Upstart,upstart.com,FinTech,domain,Upstart,upstart.com,733ec865-c6a1-45e1-aad2-8e42c0fc26ce,7bdc989a-8c5d-5744-28f9-55231b5c0d05,Series D,2019-04-08,50000000.0,$50.0M,,—,Progressive,—,3
Zest AI,zest.ai,FinTech,domain,Zest AI,zest.ai,9d216ec8-fb4c-4ba4-b196-77b6d95cfd33,ffff7aa6-f21a-fe88-791b-9e95ad3b7d07,Series G,2024-12-13,200000000.0,$200.0M,,—,Insight Partners,Jonathan Rosenbaum (Insight Partners); Lonne Jaffe (Insight Partners); Deven Parekh (Insight Partners),1
Abridge,abridge.com,HealthTech,domain,Abridge,abridge.com,d49f82b5-b92a-4757-b8ba-40c00688c482,91d0725f-ab60-09d0-749f-6e14c6860c9f,Series E,2025-06-24,300000000.0,$300.0M,5300000000.0,$5.30B,Andreessen Horowitz; Khosla Ventures,David George (Andreessen Horowitz),3
Nabla,nabla.com,HealthTech,domain,Nabla,nabla.com,922c5d6f-6699-4a98-94ee-30c38b33081e,7f1926be-3c05-82e9-f4bd-d1d07cd22bcc,Series B,2024-01-05,24000000.0,$24.0M,180000000.0,$180.0M,Cathay Innovation,Jacky Abitbol (Cathay Innovation),2
